"n","k","beta1","beta2","beta3","rep","LC","LR"
10000,50,0.1,0.1,0.1,23,1,1
10000,50,0.1,0.1,0.1,24,1,1
10000,50,0.1,0.1,0.1,25,1,1
10000,50,0.1,0.1,0.1,26,1,1
10000,50,0.1,0.1,0.1,27,1,1
10000,50,0.1,0.1,0.1,28,1,1
10000,50,0.1,0.1,0.1,29,1,1
10000,50,0.1,0.1,0.1,30,1,1
100,100,0.1,0.1,0.1,1,1,1
100,100,0.1,0.1,0.1,2,1,1
100,100,0.1,0.1,0.1,3,1,1
100,100,0.1,0.1,0.1,4,1,1
100,100,0.1,0.1,0.1,5,1,1
100,100,0.1,0.1,0.1,6,1,1
100,100,0.1,0.1,0.1,7,1,1
100,100,0.1,0.1,0.1,8,1,1
100,100,0.1,0.1,0.1,9,1,1
100,100,0.1,0.1,0.1,10,1,1
100,100,0.1,0.1,0.1,11,1,1
100,100,0.1,0.1,0.1,12,1,1
100,100,0.1,0.1,0.1,13,1,1
100,100,0.1,0.1,0.1,14,1,1
100,100,0.1,0.1,0.1,15,0.802347449531854,1.24634284135068
100,100,0.1,0.1,0.1,16,1,1
100,100,0.1,0.1,0.1,17,1,1
100,100,0.1,0.1,0.1,18,1,1
100,100,0.1,0.1,0.1,19,71.1893996907854,0.014047035153317
100,100,0.1,0.1,0.1,20,1,1
100,100,0.1,0.1,0.1,21,1,1
100,100,0.1,0.1,0.1,22,1,1
100,100,0.1,0.1,0.1,23,1,1
100,100,0.1,0.1,0.1,24,1,1
100,100,0.1,0.1,0.1,25,1,1
100,100,0.1,0.1,0.1,26,1,1
100,100,0.1,0.1,0.1,27,1,1
100,100,0.1,0.1,0.1,28,1,1
100,100,0.1,0.1,0.1,29,1,1
100,100,0.1,0.1,0.1,30,1,1
1000,100,0.1,0.1,0.1,1,1,1
1000,100,0.1,0.1,0.1,2,1,1
1000,100,0.1,0.1,0.1,3,1,1
1000,100,0.1,0.1,0.1,4,1,1
1000,100,0.1,0.1,0.1,5,1,1
1000,100,0.1,0.1,0.1,6,1,1
1000,100,0.1,0.1,0.1,7,1,1
1000,100,0.1,0.1,0.1,8,1,1
1000,100,0.1,0.1,0.1,9,1,1
1000,100,0.1,0.1,0.1,10,1,1
1000,100,0.1,0.1,0.1,11,1,1
1000,100,0.1,0.1,0.1,12,1,1
1000,100,0.1,0.1,0.1,13,1,1
1000,100,0.1,0.1,0.1,14,1,1
1000,100,0.1,0.1,0.1,15,1,1
1000,100,0.1,0.1,0.1,16,1,1
1000,100,0.1,0.1,0.1,17,1,1
1000,100,0.1,0.1,0.1,18,1,1
1000,100,0.1,0.1,0.1,19,1,1
1000,100,0.1,0.1,0.1,20,1,1
1000,100,0.1,0.1,0.1,21,1,1
1000,100,0.1,0.1,0.1,22,1,1
1000,100,0.1,0.1,0.1,23,1,1
1000,100,0.1,0.1,0.1,24,1,1
1000,100,0.1,0.1,0.1,25,1,1
1000,100,0.1,0.1,0.1,26,1,1
1000,100,0.1,0.1,0.1,27,1,1
1000,100,0.1,0.1,0.1,28,1,1
1000,100,0.1,0.1,0.1,29,1,1
1000,100,0.1,0.1,0.1,30,1,1
10000,100,0.1,0.1,0.1,1,1,1
10000,100,0.1,0.1,0.1,2,1,1
10000,100,0.1,0.1,0.1,3,1,1
10000,100,0.1,0.1,0.1,4,1,1
10000,100,0.1,0.1,0.1,5,1,1
10000,100,0.1,0.1,0.1,6,1,1
10000,100,0.1,0.1,0.1,7,1,1
10000,100,0.1,0.1,0.1,8,1,1
10000,100,0.1,0.1,0.1,9,1,1
10000,100,0.1,0.1,0.1,10,1,1
10000,100,0.1,0.1,0.1,11,1,1
10000,100,0.1,0.1,0.1,12,1,1
10000,100,0.1,0.1,0.1,13,1,1
10000,100,0.1,0.1,0.1,14,1,1
10000,100,0.1,0.1,0.1,15,1,1
10000,100,0.1,0.1,0.1,16,1,1
10000,100,0.1,0.1,0.1,17,1,1
10000,100,0.1,0.1,0.1,18,1,1
10000,100,0.1,0.1,0.1,19,1,1
10000,100,0.1,0.1,0.1,20,1,1
10000,100,0.1,0.1,0.1,21,1,1
10000,100,0.1,0.1,0.1,22,1,1
10000,100,0.1,0.1,0.1,23,1,1
10000,100,0.1,0.1,0.1,24,1,1
10000,100,0.1,0.1,0.1,25,1,1
10000,100,0.1,0.1,0.1,26,1,1
10000,100,0.1,0.1,0.1,27,1,1
10000,100,0.1,0.1,0.1,28,1,1
10000,100,0.1,0.1,0.1,29,1,1
10000,100,0.1,0.1,0.1,30,1,1
100,500,0.1,0.1,0.1,1,615849.987690853,1.62377205486279e-06
100,500,0.1,0.1,0.1,2,1,1
100,500,0.1,0.1,0.1,3,1,1
100,500,0.1,0.1,0.1,4,1,1
100,500,0.1,0.1,0.1,5,4.32740457965845,0.231085395782182
100,500,0.1,0.1,0.1,6,1,1
100,500,0.1,0.1,0.1,7,1,1
100,500,0.1,0.1,0.1,8,1,1
100,500,0.1,0.1,0.1,9,1,1
100,500,0.1,0.1,0.1,10,1,1
100,500,0.1,0.1,0.1,11,1,1
100,500,0.1,0.1,0.1,12,1,1
100,500,0.1,0.1,0.1,13,1,1
100,500,0.1,0.1,0.1,14,1,1
100,500,0.1,0.1,0.1,15,1,1
100,500,0.1,0.1,0.1,16,1,1
100,500,0.1,0.1,0.1,17,1.77709258456391,0.562716883006632
100,500,0.1,0.1,0.1,18,1,1
100,500,0.1,0.1,0.1,19,1,1
100,500,0.1,0.1,0.1,20,4846859646.9866,2.06319157729629e-10
100,500,0.1,0.1,0.1,21,1,1
100,500,0.1,0.1,0.1,22,1,1
100,500,0.1,0.1,0.1,23,1,1
100,500,0.1,0.1,0.1,24,1.00000000000003,0.999999999999972
100,500,0.1,0.1,0.1,25,1,1
100,500,0.1,0.1,0.1,26,1,1
100,500,0.1,0.1,0.1,27,1,1
100,500,0.1,0.1,0.1,28,1,1
100,500,0.1,0.1,0.1,29,1,1
100,500,0.1,0.1,0.1,30,1,1
1000,500,0.1,0.1,0.1,1,1,1
1000,500,0.1,0.1,0.1,2,1,1
1000,500,0.1,0.1,0.1,3,0.999999999999773,1.00000000000023
1000,500,0.1,0.1,0.1,4,1,1
1000,500,0.1,0.1,0.1,5,1,1
1000,500,0.1,0.1,0.1,6,1,1
1000,500,0.1,0.1,0.1,7,1,1
1000,500,0.1,0.1,0.1,8,1,1
1000,500,0.1,0.1,0.1,9,1,1
1000,500,0.1,0.1,0.1,10,1,1
1000,500,0.1,0.1,0.1,11,1,1
1000,500,0.1,0.1,0.1,12,1,1
1000,500,0.1,0.1,0.1,13,1,1
1000,500,0.1,0.1,0.1,14,1,1
1000,500,0.1,0.1,0.1,15,1,1
1000,500,0.1,0.1,0.1,16,1,1
1000,500,0.1,0.1,0.1,17,1,1
1000,500,0.1,0.1,0.1,18,1,1
1000,500,0.1,0.1,0.1,19,1,1
1000,500,0.1,0.1,0.1,20,1,1
1000,500,0.1,0.1,0.1,21,1,1
1000,500,0.1,0.1,0.1,22,1,1
1000,500,0.1,0.1,0.1,23,1,1
1000,500,0.1,0.1,0.1,24,1,1
1000,500,0.1,0.1,0.1,25,1,1
1000,500,0.1,0.1,0.1,26,1,1
1000,500,0.1,0.1,0.1,27,1,1
1000,500,0.1,0.1,0.1,28,0.999999999999773,1.00000000000023
1000,500,0.1,0.1,0.1,29,1,1
1000,500,0.1,0.1,0.1,30,1,1
10000,500,0.1,0.1,0.1,1,1,1
10000,500,0.1,0.1,0.1,2,1,1
10000,500,0.1,0.1,0.1,3,1,1
10000,500,0.1,0.1,0.1,4,1,1
10000,500,0.1,0.1,0.1,5,1,1
10000,500,0.1,0.1,0.1,6,1,1
10000,500,0.1,0.1,0.1,7,1,1
10000,500,0.1,0.1,0.1,8,1,1
10000,500,0.1,0.1,0.1,9,1,1
10000,500,0.1,0.1,0.1,10,1,1
10000,500,0.1,0.1,0.1,11,1,1
10000,500,0.1,0.1,0.1,12,1,1
10000,500,0.1,0.1,0.1,13,1,1
10000,500,0.1,0.1,0.1,14,1,1
10000,500,0.1,0.1,0.1,15,1,1
10000,500,0.1,0.1,0.1,16,1,1
10000,500,0.1,0.1,0.1,17,1,1
10000,500,0.1,0.1,0.1,18,1,1
10000,500,0.1,0.1,0.1,19,1,1
10000,500,0.1,0.1,0.1,20,1,1
10000,500,0.1,0.1,0.1,21,1,1
10000,500,0.1,0.1,0.1,22,1,1
10000,500,0.1,0.1,0.1,23,1,1
10000,500,0.1,0.1,0.1,24,1,1
10000,500,0.1,0.1,0.1,25,1,1
10000,500,0.1,0.1,0.1,26,1,1
10000,500,0.1,0.1,0.1,27,1,1
10000,500,0.1,0.1,0.1,28,1,1
10000,500,0.1,0.1,0.1,29,1,1
10000,500,0.1,0.1,0.1,30,1,1
100,2000,0.1,0.1,0.1,1,1,1
100,2000,0.1,0.1,0.1,2,1,1
100,2000,0.1,0.1,0.1,3,1,1
100,2000,0.1,0.1,0.1,4,1,1
100,2000,0.1,0.1,0.1,5,1,1
100,2000,0.1,0.1,0.1,6,1,1
100,2000,0.1,0.1,0.1,7,1,1
100,2000,0.1,0.1,0.1,8,1,1
100,2000,0.1,0.1,0.1,9,1,1
100,2000,0.1,0.1,0.1,10,1,1
100,2000,0.1,0.1,0.1,11,1,1
100,2000,0.1,0.1,0.1,12,1,1
100,2000,0.1,0.1,0.1,13,1,1
100,2000,0.1,0.1,0.1,14,1,1
100,2000,0.1,0.1,0.1,15,1,1
100,2000,0.1,0.1,0.1,16,1,1
100,2000,0.1,0.1,0.1,17,0.968613937353146,1.03240306734861
100,2000,0.1,0.1,0.1,18,1,1
100,2000,0.1,0.1,0.1,19,1,1
100,2000,0.1,0.1,0.1,20,1,1
100,2000,0.1,0.1,0.1,21,1,1
100,2000,0.1,0.1,0.1,22,1,1
100,2000,0.1,0.1,0.1,23,1,1
100,2000,0.1,0.1,0.1,24,1,1
100,2000,0.1,0.1,0.1,25,1,1
100,2000,0.1,0.1,0.1,26,1,1
100,2000,0.1,0.1,0.1,27,1,1
100,2000,0.1,0.1,0.1,28,1,1
100,2000,0.1,0.1,0.1,29,1,1
100,2000,0.1,0.1,0.1,30,1,1
1000,2000,0.1,0.1,0.1,1,1,1
1000,2000,0.1,0.1,0.1,2,1,1
1000,2000,0.1,0.1,0.1,3,1,1
1000,2000,0.1,0.1,0.1,4,1,1
1000,2000,0.1,0.1,0.1,5,1,1
1000,2000,0.1,0.1,0.1,6,1,1
1000,2000,0.1,0.1,0.1,7,1,1
1000,2000,0.1,0.1,0.1,8,1,1
1000,2000,0.1,0.1,0.1,9,1,1
1000,2000,0.1,0.1,0.1,10,1,1
1000,2000,0.1,0.1,0.1,11,1,1
1000,2000,0.1,0.1,0.1,12,1,1
1000,2000,0.1,0.1,0.1,13,1,1
1000,2000,0.1,0.1,0.1,14,1,1
1000,2000,0.1,0.1,0.1,15,1,1
1000,2000,0.1,0.1,0.1,16,1,1
1000,2000,0.1,0.1,0.1,17,1,1
1000,2000,0.1,0.1,0.1,18,1,1
1000,2000,0.1,0.1,0.1,19,1,1
1000,2000,0.1,0.1,0.1,20,1,1
1000,2000,0.1,0.1,0.1,21,1,1
1000,2000,0.1,0.1,0.1,22,1,1
1000,2000,0.1,0.1,0.1,23,1,1
1000,2000,0.1,0.1,0.1,24,1,1
1000,2000,0.1,0.1,0.1,25,1,1
1000,2000,0.1,0.1,0.1,26,1,1
1000,2000,0.1,0.1,0.1,27,1,1
1000,2000,0.1,0.1,0.1,28,1,1
1000,2000,0.1,0.1,0.1,29,1,1
1000,2000,0.1,0.1,0.1,30,1,1
10000,2000,0.1,0.1,0.1,1,1,1
10000,2000,0.1,0.1,0.1,2,1,1
10000,2000,0.1,0.1,0.1,3,1,1
10000,2000,0.1,0.1,0.1,4,1,1
10000,2000,0.1,0.1,0.1,5,1,1
10000,2000,0.1,0.1,0.1,6,1,1
10000,2000,0.1,0.1,0.1,7,1,1
10000,2000,0.1,0.1,0.1,8,1,1
10000,2000,0.1,0.1,0.1,9,1,1
10000,2000,0.1,0.1,0.1,10,1,1
10000,2000,0.1,0.1,0.1,11,1,1
10000,2000,0.1,0.1,0.1,12,1,1
10000,2000,0.1,0.1,0.1,13,1,1
10000,2000,0.1,0.1,0.1,14,1,1
10000,2000,0.1,0.1,0.1,15,1,1
10000,2000,0.1,0.1,0.1,16,1,1
10000,2000,0.1,0.1,0.1,17,1,1
10000,2000,0.1,0.1,0.1,18,1,1
10000,2000,0.1,0.1,0.1,19,1,1
10000,2000,0.1,0.1,0.1,20,1,1
10000,2000,0.1,0.1,0.1,21,1,1
10000,2000,0.1,0.1,0.1,22,1,1
10000,2000,0.1,0.1,0.1,23,1,1
10000,2000,0.1,0.1,0.1,24,1,1
10000,2000,0.1,0.1,0.1,25,1,1
10000,2000,0.1,0.1,0.1,26,1,1
10000,2000,0.1,0.1,0.1,27,1,1
10000,2000,0.1,0.1,0.1,28,1,1
10000,2000,0.1,0.1,0.1,29,1,1
10000,2000,0.1,0.1,0.1,30,1,1
100,5000,0.1,0.1,0.1,1,1,1
100,5000,0.1,0.1,0.1,2,1,1
100,5000,0.1,0.1,0.1,3,1,1
100,5000,0.1,0.1,0.1,4,1,1
100,5000,0.1,0.1,0.1,5,1,1
100,5000,0.1,0.1,0.1,6,1,1
100,5000,0.1,0.1,0.1,7,103869277.11588,9.6274858915632e-09
100,5000,0.1,0.1,0.1,8,1,1
100,5000,0.1,0.1,0.1,9,1,1
100,5000,0.1,0.1,0.1,10,1,1
100,5000,0.1,0.1,0.1,11,1,1
100,5000,0.1,0.1,0.1,12,1,1
100,5000,0.1,0.1,0.1,13,1.02743724028802,0.973295458630321
100,5000,0.1,0.1,0.1,14,1,1
100,5000,0.1,0.1,0.1,15,1,1
100,5000,0.1,0.1,0.1,16,1,1
100,5000,0.1,0.1,0.1,17,1,1
100,5000,0.1,0.1,0.1,18,1,1
100,5000,0.1,0.1,0.1,19,1,1
100,5000,0.1,0.1,0.1,20,1,1
100,5000,0.1,0.1,0.1,21,1,1
100,5000,0.1,0.1,0.1,22,1,1
100,5000,0.1,0.1,0.1,23,1,1
100,5000,0.1,0.1,0.1,24,1,1
100,5000,0.1,0.1,0.1,25,1,1
100,5000,0.1,0.1,0.1,26,1.352692990429,0.739266047118982
100,5000,0.1,0.1,0.1,27,1,1
100,5000,0.1,0.1,0.1,28,1,1
100,5000,0.1,0.1,0.1,29,1,1
100,5000,0.1,0.1,0.1,30,1,1
1000,5000,0.1,0.1,0.1,1,1,1
1000,5000,0.1,0.1,0.1,2,1,1
1000,5000,0.1,0.1,0.1,3,1,1
1000,5000,0.1,0.1,0.1,4,1,1
1000,5000,0.1,0.1,0.1,5,1,1
1000,5000,0.1,0.1,0.1,6,1,1
1000,5000,0.1,0.1,0.1,7,1,1
1000,5000,0.1,0.1,0.1,8,1,1
1000,5000,0.1,0.1,0.1,9,1,1
1000,5000,0.1,0.1,0.1,10,1,1
1000,5000,0.1,0.1,0.1,11,1,1
1000,5000,0.1,0.1,0.1,12,1,1
1000,5000,0.1,0.1,0.1,13,1,1
1000,5000,0.1,0.1,0.1,14,1,1
1000,5000,0.1,0.1,0.1,15,1,1
1000,5000,0.1,0.1,0.1,16,1,1
1000,5000,0.1,0.1,0.1,17,1,1
1000,5000,0.1,0.1,0.1,18,1,1
1000,5000,0.1,0.1,0.1,19,1,1
1000,5000,0.1,0.1,0.1,20,1,1
1000,5000,0.1,0.1,0.1,21,1,1
1000,5000,0.1,0.1,0.1,22,1,1
1000,5000,0.1,0.1,0.1,23,1,1
1000,5000,0.1,0.1,0.1,24,1,1
1000,5000,0.1,0.1,0.1,25,1,1
1000,5000,0.1,0.1,0.1,26,1,1
1000,5000,0.1,0.1,0.1,27,1,1
1000,5000,0.1,0.1,0.1,28,1,1
1000,5000,0.1,0.1,0.1,29,1,1
1000,5000,0.1,0.1,0.1,30,1,1
10000,5000,0.1,0.1,0.1,1,1,1
10000,5000,0.1,0.1,0.1,2,1,1
10000,5000,0.1,0.1,0.1,3,1,1
10000,5000,0.1,0.1,0.1,4,1,1
10000,5000,0.1,0.1,0.1,5,1,1
10000,5000,0.1,0.1,0.1,6,1,1
10000,5000,0.1,0.1,0.1,7,1,1
10000,5000,0.1,0.1,0.1,8,1,1
10000,5000,0.1,0.1,0.1,9,1,1
10000,5000,0.1,0.1,0.1,10,1,1
10000,5000,0.1,0.1,0.1,11,1,1
10000,5000,0.1,0.1,0.1,12,1,1
10000,5000,0.1,0.1,0.1,13,1,1
10000,5000,0.1,0.1,0.1,14,1,1
10000,5000,0.1,0.1,0.1,15,1,1
10000,5000,0.1,0.1,0.1,16,1,1
10000,5000,0.1,0.1,0.1,17,1,1
10000,5000,0.1,0.1,0.1,18,1,1
10000,5000,0.1,0.1,0.1,19,1,1
10000,5000,0.1,0.1,0.1,20,1,1
10000,5000,0.1,0.1,0.1,21,1,1
10000,5000,0.1,0.1,0.1,22,1,1
10000,5000,0.1,0.1,0.1,23,1,1
10000,5000,0.1,0.1,0.1,24,1,1
10000,5000,0.1,0.1,0.1,25,1,1
10000,5000,0.1,0.1,0.1,26,1,1
10000,5000,0.1,0.1,0.1,27,1,1
10000,5000,0.1,0.1,0.1,28,1,1
10000,5000,0.1,0.1,0.1,29,1,1
10000,5000,0.1,0.1,0.1,30,1,1
100,10,1,0.1,0.1,1,1,1
100,10,1,0.1,0.1,2,1,1
100,10,1,0.1,0.1,3,1,1
100,10,1,0.1,0.1,4,1,1
100,10,1,0.1,0.1,5,1,1
100,10,1,0.1,0.1,6,1,1
100,10,1,0.1,0.1,7,1,1
100,10,1,0.1,0.1,8,1,1
100,10,1,0.1,0.1,9,1,1
100,10,1,0.1,0.1,10,1,1
100,10,1,0.1,0.1,11,1,1
100,10,1,0.1,0.1,12,1,1
100,10,1,0.1,0.1,13,1,1
100,10,1,0.1,0.1,14,1,1
100,10,1,0.1,0.1,15,1,1
100,10,1,0.1,0.1,16,1,1
100,10,1,0.1,0.1,17,1,1
100,10,1,0.1,0.1,18,1,1
100,10,1,0.1,0.1,19,29.4073494374685,0.034005104816617
100,10,1,0.1,0.1,20,1,1
100,10,1,0.1,0.1,21,1,1
100,10,1,0.1,0.1,22,1,1
100,10,1,0.1,0.1,23,1,1
100,10,1,0.1,0.1,24,1,1
100,10,1,0.1,0.1,25,1,1
100,10,1,0.1,0.1,26,1,1
100,10,1,0.1,0.1,27,1,1
100,10,1,0.1,0.1,28,1,1
100,10,1,0.1,0.1,29,1,1
100,10,1,0.1,0.1,30,1,1
1000,10,1,0.1,0.1,1,1,1
1000,10,1,0.1,0.1,2,1,1
1000,10,1,0.1,0.1,3,1,1
1000,10,1,0.1,0.1,4,1,1
1000,10,1,0.1,0.1,5,1,1
1000,10,1,0.1,0.1,6,1,1
1000,10,1,0.1,0.1,7,1,1
1000,10,1,0.1,0.1,8,1,1
1000,10,1,0.1,0.1,9,1,1
1000,10,1,0.1,0.1,10,1,1
1000,10,1,0.1,0.1,11,1,1
1000,10,1,0.1,0.1,12,1,1
1000,10,1,0.1,0.1,13,1,1
1000,10,1,0.1,0.1,14,1,1
1000,10,1,0.1,0.1,15,1,1
1000,10,1,0.1,0.1,16,1,1
1000,10,1,0.1,0.1,17,1,1
1000,10,1,0.1,0.1,18,1,1
1000,10,1,0.1,0.1,19,1,1
1000,10,1,0.1,0.1,20,1,1
1000,10,1,0.1,0.1,21,1,1
1000,10,1,0.1,0.1,22,1,1
1000,10,1,0.1,0.1,23,1,1
1000,10,1,0.1,0.1,24,1,1
1000,10,1,0.1,0.1,25,1,1
1000,10,1,0.1,0.1,26,1,1
1000,10,1,0.1,0.1,27,1,1
1000,10,1,0.1,0.1,28,1,1
1000,10,1,0.1,0.1,29,1,1
1000,10,1,0.1,0.1,30,1,1
